minute_ts,utc,open,high,low,close,open_mcap,high_mcap,close_mcap,buy_sol,sell_sol,buy_usd,sell_usd,buy_count,sell_count,unique_buyers,return_1m,mcap_change_1m,return_5m,mcap_change_5m,return_10m,mcap_change_10m,return_30m,mcap_change_30m,return_60m,mcap_change_60m
1783678500,2026-07-10T10:15:00+00:00,2.812954458692e-06,2.812954458692e-06,2.812954458692e-06,2.812954458692e-06,2812.9544586919997,2812.9544586919997,2812.9544586919997,0,0.003743986,0,0.29648625134,0,1,0,-0.05279381036837838,-156.78379838800038,-0.05279381036837838,-156.78379838800038,-0.05279381036837838,-156.78379838800038,-0.10565835567432635,-332.3250623270005,-0.12197762530490674,-390.7844661490003
1783679220,2026-07-10T10:27:00+00:00,2.830493886675e-06,2.830493886675e-06,2.830493886675e-06,2.830493886675e-06,2830.493886675,2830.493886675,2830.493886675,0.060603883,0,4.82103889265,0,1,0,1,0.006235233538461227,17.539427983000223,0.006235233538461227,17.539427983000223,0.006235233538461227,17.539427983000223,-0.04688775856694938,-139.24437040500015,-0.10008192665878446,-314.7856343440003
1783679340,2026-07-10T10:29:00+00:00,2.918618325091e-06,3.221508437209e-06,2.918618325091e-06,3.221508437209e-06,2918.618325091,3221.508437209,3221.508437209,2.6400000009999998,0,210.22320007963,0,3,0,3,0.13814357712438907,391.01455053400014,0.1452401681280593,408.55397851700036,0.1452401681280593,408.55397851700036,0.08477857586565674,251.77018012899998,0.024235975111459584,76.22891618999984
1783679400,2026-07-10T10:30:00+00:00,3.385988027898e-06,4.598830627629e-06,3.385988027898e-06,4.598830627629e-06,3385.988027898,4598.830627629,4598.830627629,6.731294302,0,535.89810015727,0,12,0,12,0.4275395260529764,1377.3221904200004,0.6348756068263606,1785.8761689370008,0.6348756068263606,1785.8761689370008,0.5485642940636821,1629.0923705490004,0.4621373384770209,1453.5511066100003
1783679460,2026-07-10T10:31:00+00:00,4.484763838162e-06,4.484763838162e-06,2.82701666373e-06,3.335682939335e-06,4484.763838162,4484.763838162,3335.682939335,3.334778273,9.592469536,265.30801161715,763.38530687763,4,16,4,-0.2746671470580415,-1263.1476882940005,0.18582898810457982,522.7284806430002,0.18582898810457982,522.7284806430002,0.12322455737726057,365.94468225499986,0.06053624711049954,190.40341831599972
1783679520,2026-07-10T10:32:00+00:00,3.39889208428e-06,3.39889208428e-06,3.39889208428e-06,3.39889208428e-06,3398.8920842800003,3398.8920842800003,3398.8920842800003,0.174501133,0,13.8902901868,0,1,0,1,0.018949386405891833,63.20914494500039,0.2008123742223309,568.3981976050004,0.2082997198114811,585.9376255880006,0.1445089735355891,429.15382720000025,0.08063275825445082,253.6125632610001
1783679700,2026-07-10T10:35:00+00:00,3.265070580464e-06,3.265070580464e-06,3.022294962848e-06,3.022294962848e-06,3265.0705804639997,3265.0705804639997,3022.2949628479996,0,2.763167503,0,219.72707983856,0,2,0,-0.1107999642512264,-376.5971214320007,-0.34281229130497637,-1576.5356647810008,0.0744201540516023,209.34050415599995,0.01769742018263809,52.556705767999574,-0.03910131272884643,-122.98455817100057
1783679820,2026-07-10T10:37:00+00:00,2.93023343131e-06,2.93023343131e-06,2.93023343131e-06,2.93023343131e-06,2930.23343131,2930.23343131,2930.23343131,0.097777777,0,7.77235549373,0,1,0,1,-0.030460803022100635,-92.0615315379996,-0.13788571138741468,-468.6586529700003,0.03523750575987439,99.73954463500013,-0.013302460469645339,-39.504825770000025,-0.06837105836600821,-215.04608970900017
1783680000,2026-07-10T10:40:00+00:00,2.902679974207e-06,2.902679974207e-06,2.902679974207e-06,2.902679974207e-06,2902.679974207,2902.679974207,2902.679974207,0,0.429803154,0,34.17364877454,0,1,0,-0.009403161129958648,-27.5534571029998,-0.039577536313094575,-119.6149886409994,-0.3688221617103732,-1696.1506534220002,-0.022580536420383046,-67.05828287299983,-0.07713131541752549,-242.59954681199997
1783680600,2026-07-10T10:50:00+00:00,2.865504414299e-06,2.865504414299e-06,2.865504414299e-06,2.865504414299e-06,2865.504414299,2865.504414299,2865.504414299,0,0.003429186,0,0.27258599514,0,1,0,-0.012807322969924151,-37.175559908000196,-0.012807322969924151,-37.175559908000196,-0.012807322969924151,-37.175559908000196,0.018681410018787092,52.549955607000356,-0.08604371246626541,-269.77071141999977
